Organization Name,Organization Name URL,Industry Groups,Number of Employees,Industries,Headquarters Location,Description,CB Rank (Organization),Stage,CB Rank (Company),Website,Contact Email,LinkedIn,Phone Number,Last Funding Date,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD)
Upheal,https://www.crunchbase.com/organization/upheal,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care, Mental Health, Natural Language Processing, Software","Middletown, Delaware, United States","Upheal is a health care company that offers a therapy tool for mental health clinicians via video calling, automated progress.","19,693",,"17,514",https://www.upheal.io,hello+crunch@upheal.io,https://www.linkedin.com/company/upheal,,2024-11-14,Series A,10000000,USD,10000000
Attane Health,https://www.crunchbase.com/organization/attane-health,Health Care,1-10,"Health Care, Medical","Kansas City, Missouri, United States","Attane Health delivers personalized groceries, educational support, and essential data.","19,729",,"17,546",https://attane-health.com,,https://www.linkedin.com/company/attanehealth,,2022-09-09,Seed,3512582,USD,3512582
Behavidence,https://www.crunchbase.com/organization/behavidence,"Apps, Health Care, Mobile, Software",1-10,"Health Care, Mental Health, mHealth, Mobile Apps","New York, New York, United States",Behavidence develops tools to monitor and manage mental health.,"19,754",,"17,570",https://www.behavidence.com,health@behavidence.com,https://www.linkedin.com/company/behavidence,,2022-03-10,Seed,4300000,USD,4300000
Deegtal,https://www.crunchbase.com/organization/deegtal,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Medical, Medical Device","Geneva, Geneve, Switzerland",Deegtal is a technology company that provides solutions to enhance the efficiency and accuracy of epilepsy diagnosis.,"19,768",,"17,582",https://www.deegtal.ai/,,https://www.linkedin.com/company/deegtal,,2025-09-23,Grant,640000,CHF,808666
Belliwelli,https://www.crunchbase.com/organization/belliwelli,"Food and Beverage, Health Care",1-10,"Food and Beverage, Nutrition, Plant-Based Foods, Snack Food","Los Angeles, California, United States","Belliwelli offers four gut-friendly, plant-based snack bars that caters to people with IBS.","19,789",,"17,603",https://belliwelli.com/,,https://www.linkedin.com/company/belliwelli/,,2023-01-20,Series A,15393200,USD,15393200
Context Therapeutics,https://www.crunchbase.com/organization/context-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care","Philadelphia, Pennsylvania, United States",Context Therapeutics is a  clinical-stage biopharmaceutical company.,"19,833",,"17,641",http://www.contexttherapeutics.com/,,https://in.linkedin.com/company/context-therapeutics,,2024-05-02,Post-IPO Equity,100000000,USD,100000000
Surge,https://www.crunchbase.com/organization/surge2surgery,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Biotechnology, Electronic Health Record (EHR), Health Care, Machine Learning, Predictive Analytics","Illkirch-graffenstaden, Alsace, France",Surge personalizes the care of patients undergoing surgery by providing an accurate prediction of postoperative infections.,"19,844",,"17,652",https://www.surge.care,contact@surge2surgery.com,https://www.linkedin.com/company/surge2surgery,,2024-03-27,Seed,5300000,EUR,5730678
Methuselah,https://www.crunchbase.com/organization/methuselah,Health Care,1-10,"Health Care, Hospital, Medical","Shanghai, Shanghai, China",Methuselah is a medical nutrition company that produces nutrition products.,"19,867",,"17,674",http://www.mn969.com/,methuselah2012@163.com,,021-6306-7969,2025-08-04,Series B,108000000,CNY,15044507
SynuCa Therapeutics,https://www.crunchbase.com/organization/synuca-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Medical, Neuroscience, Therapeutics","Aarhus, Midtjylland, Denmark","Synuca Therapeutics focused on developing innovative therapies for neurological disorders, particularly Parkinson's disease.","19,889",,"17,694",https://www.synuca.com,,https://www.linkedin.com/company/synuca-therapeutics,,2026-03-02,Seed,1300000,EUR,1532112
XDemics,https://www.crunchbase.com/organization/xdemics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Medical, Wellness","Novato, California, United States",XDemics is a biotechnology research company that offers advanced cell and viral-based therapeutics.,"19,953",,"17,755",https://xdemics.com/,,https://www.linkedin.com/company/xdemics-corporation/,+1 415-637-6691,2026-02-06,Venture - Series Unknown,7399999,USD,7399999
Mantis biotech,https://www.crunchbase.com/organization/mantis-biotech,"Biotechnology, Data and Analytics, Design, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Product Research","San Francisco, California, United States",Mantis biotech builds a unified biomedical device testing and regulatory platform,"19,968",,"17,769",https://mantisbiotech.com/,info@mantisbiotech.com,https://www.linkedin.com/company/mantis-biotech/,19707791386,2025-12-19,Seed,275000,USD,275000
Reconnect Labs,https://www.crunchbase.com/organization/reconnect-labs,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical, Psychology","Zürich, Zurich, Switzerland",Reconnect Labs develops next-gen psychedelic medicines for neuropsychiatry.,"20,033",,"17,826",https://reconnect-labs.com,info@reconnect-labs.com,https://www.linkedin.com/company/reconnect-labs,,2025-01-01,Grant,10000000,CHF,11016455
VoiceMed,https://www.crunchbase.com/organization/voicemed,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care","Luxembourg, Luxembourg, Luxembourg",AI and vocal biomarkers for providiny health check directly on the smartphone. Lung and cardiorespiratory health.,"20,036",,"17,829",https://www.voicemed.io,contact@voicemed.io,https://www.linkedin.com/company/42952189/admin/,,2026-02-17,Venture - Series Unknown,1000000,EUR,1184170
VITL,https://www.crunchbase.com/organization/vitl,"Food and Beverage, Health Care, Media and Entertainment, Sports",1-10,"Content, Fitness, Food and Beverage, Health Care, Nutrition","Farnham, Surrey, United Kingdom","On a mission to make healthy living more achievable, providing beautifully designed, expertly researched nutritional products and content.","20,050",,"17,843",http://vitl.com,,https://www.linkedin.com/company/vitl-com,+44 (0) 20 3488 0747,2022-12-05,Venture - Series Unknown,,,
PediaMetrix,https://www.crunchbase.com/organization/pediametrix,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical Device","Rockville, Maryland, United States",PediaMetrix brings AI and computer vision to pediatric health to lower cost and improve outcome.,"20,095",,"17,884",http://www.pediametrix.com,contact@pediametrix.com,https://www.linkedin.com/company/pediametrix/,,2025-08-23,Grant,2000000,USD,2000000
Levl,https://www.crunchbase.com/organization/levl-80e3,Health Care,1-10,"Health Care, Mental Health, Precision Medicine","Brooklyn, New York, United States",Remote Therapeutic Monitoring for Mental Health Treatments,"20,108",,"17,896",https://www.findlevl.com,,https://www.linkedin.com/company/findlevl/,,2024-09-04,Grant,50000,USD,50000
Fetalix,https://www.crunchbase.com/organization/fetalix,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Medical Device","Oporto, Porto, Portugal",Fetalix offers a regenerative fetal-inspired biomaterial aimed at treating Low Back Pain (LBP) through a minimally invasive procedure.,"20,141",,"17,927",http://www.fetalix.eu,info@fetalix.eu,http://www.linkedin.com/company/fetalix/,,2025-09-12,Grant,250000,EUR,293393
NovaXS Biotech,https://www.crunchbase.com/organization/novaxs,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical Device","Chicago, Illinois, United States",NovaXS Biotech is a smart medical device startup focused on advanced drug delivery and users' long-term health.,"20,142",,"17,928",https://www.novaxs.co/,jxing@novaxs.co,https://www.linkedin.com/company/novaxs-biotech-corp/,9493837619,2023-03-01,Seed,1000000,USD,1000000
BI Brid,https://www.crunchbase.com/organization/bi-brid,"Health Care, Information Technology, Other",1-10,"Information Technology, Medical, Service Industry","Tokyo, Tokyo, Japan",BI Brid provides IT solutions and services for the medical industry.,"20,154",,"17,938",http://www.bibrid.co.jp/,contact@bibrid.co.jp,,03-6803-2812,2026-03-13,Undisclosed,,,
Titan,https://www.crunchbase.com/organization/aware-healthcare,"Education, Health Care, Information Technology, Other",1-10,"Health Care, Information Technology, Personal Health, Professional Services, Training, Wellness","Brooklyn, New York, United States",Top 1% coaches for top 1% performers. Titan matches VC-backed founders with world-leading executive coaches and performance psychologists.,"20,175",,"17,959",https://www.withtitan.com/,,https://www.linkedin.com/company/withtitan/,,2022-06-09,Seed,4200000,USD,4200000
Corryn Biotechnologies,https://www.crunchbase.com/organization/corryn-biotechnologies,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Medical, Medical Device","Morriston, Swansea, United Kingdom",Corryn is a biotechnology company that develops wound dressing devices to redefine the chronic and complex wound care.,"20,188",,"17,970",https://www.corryn.co.uk/,,https://www.linkedin.com/company/corryn-biotechnologies/,,2026-04-01,Seed,500000,GBP,661793
Clarion,https://www.crunchbase.com/organization/clarion-8c0e,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care, Hospital, Medical","New York, New York, United States","Clarion builds AI tools that automate healthcare operations making care access fast, simple, and seamless.","20,259",,"18,036",https://www.clarionhealth.com/,founders@clarionhealth.com,https://www.linkedin.com/company/clarionhealthai/,,2025-02-01,Pre-Seed,,,
Knowtex,https://www.crunchbase.com/organization/knowtex,"Health Care, Other, Software",1-10,"B2B, Electronic Health Record (EHR), Health Care, Hospital, Medical, Software","San Francisco, California, United States",Knowtex helps create visit notes from medical conversations.,"20,348",,"18,115",https://www.knowtex.ai/,founders@knowtex.ai,https://www.linkedin.com/company/knowtexai/,,2024-01-01,Seed,,,
Sohar Health,https://www.crunchbase.com/organization/sohar-health,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Developer APIs, Employee Benefits, Health Care, Insurance, Software","New York, New York, United States",Sohar Health automates insurance verification for behavioral health providers with EHR integration and real-time eligibility updates.,"20,409",,"18,171",https://www.soharhealth.com,hello@soharhealth.com,https://www.linkedin.com/company/sohar-health,+15856342575,2023-09-29,Seed,3200000,USD,3200000
Liv Labs,https://www.crunchbase.com/organization/liv-labs,"Health Care, Sports",1-10,"Fitness, Health Care, Personal Health, Wellness","Chicago, Illinois, United States",Pelvic floor fitness made easy and affordable,"20,423",,"18,184",https://www.livlabsfitness.com,info@livlabsfitness.com,https://www.linkedin.com/company/livlabsfitness,847-220-4478,2024-07-10,Grant,563008,USD,563008
Vera Health,https://www.crunchbase.com/organization/vera-health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Other, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), B2B, Generative AI, Health Care","San Francisco, California, United States",Vera Health is a Software Development firm offering accelerating evidence-based medicine.,"20,442",,"18,201",https://verahealth.ai,,https://linkedin.com/in/vera-health-ai,,2024-09-25,Pre-Seed,500000,USD,500000
Parakeet Health,https://www.crunchbase.com/organization/parakeet-health,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Call Center, Generative AI, Health Care","San Francisco, California, United States",Parakeet Health is a AI contact center agent for healthcare practices.,"20,451",,"18,209",https://www.parakeethealth.com,hello@parakeethealth.com,https://www.linkedin.com/company/parakeet-health,,2024-10-15,Seed,3000000,USD,3000000
Prevencio,https://www.crunchbase.com/organization/prevencio,Health Care,1-10,"Health Care, Health Diagnostics, Medical","Kirkland, Washington, United States",Prevencio is a developer of multi-proteomic biomarkers designed to revolutionize blood tests for cardiovascular disease.,"20,478",,"18,235",http://www.prevenciomed.com,rrhyne@prevenciomed.com,https://www.linkedin.com/company/prevencio-inc.,(425) 576-1200,2024-05-29,Non-equity Assistance,,,
Attuned Intelligence,https://www.crunchbase.com/organization/attuned-intelligence,"Artificial Intelligence (AI), Data and Analytics, Health Care, Professional Services, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Consulting, Health Care","Orlando, Florida, United States",Attuned Intelligence is a healthcare AI business that specialises in modernizing hospital and health system call centres.,"20,490",,"18,247",https://www.attuned-intelligence.com,hello@attuned-intelligence.com,https://www.linkedin.com/company/attuned-intelligence,,2025-10-07,Seed,13000000,USD,13000000
Zen,https://www.crunchbase.com/organization/zen-9b7a,"Health Care, Software, Sports",1-10,"Fitness, Health Care, Software, Wellness","San Francisco, California, United States",Posture Correction Software,"20,524",,"18,280",https://www.yayzen.com,,https://www.linkedin.com/company/posturehealth,,2021-08-26,Seed,3500000,USD,3500000
Freedom Biosciences,https://www.crunchbase.com/organization/freedom-biosciences,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Therapeutics","San Francisco, California, United States",Freedom Biosciences is a biotechnology platform developing next-generation psychedelic therapeutics.,"20,560",,"18,311",https://www.freedombio.co/,hello@freedombio.co,https://www.linkedin.com/company/freedom-biosciences/about/,,2025-02-21,Venture - Series Unknown,,,
Arda Therapeutics,https://www.crunchbase.com/organization/arda-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Therapeutics","San Francisco, California, United States",Arda is taking aim at chronic diseases and aging by eliminating the pathogenic cells that drive these conditions.,"20,565",,"18,316",https://www.ardatx.com,,https://www.linkedin.com/company/arda-therapeutics,,2024-10-01,Series A,43000000,USD,43000000
SonoVascular,https://www.crunchbase.com/organization/sonovascular,Health Care,1-10,"Health Care, Medical Device, Wellness","Chapel Hill, North Carolina, United States",SonoVascular develops a multi-mechanistic thrombectomy system for the treatment of arterial and venous diseases.,"20,619",,"18,369",https://www.sonovascular.com/,,https://www.linkedin.com/company/sonovascular.com,,2026-02-03,Series A,6000000,USD,6000000
MedSetGo,https://www.crunchbase.com/organization/medsetgo,Health Care,1-10,"Health Care, Home Health Care, Medical","Fremont, California, United States",At-Home Care Platform,"20,629",,"18,377",http://medsetgo.com,info@medsetgo.com,https://www.linkedin.com/company/medsetgo,,2025-09-15,Seed,2400000,USD,2400000
Oral Genome,https://www.crunchbase.com/organization/oral-genome,Health Care,1-10,"Dental, Health Care, Health Diagnostics, Wellness","Carlsbad, California, United States",Oral Genome is a health and wellness company for dental medication.,"20,649",,"18,397",https://www.oralgenome.com,,https://www.linkedin.com/company/oralgenome,,2025-01-31,Seed,3107595,USD,3107595
Sesh+,https://www.crunchbase.com/organization/sesh-products,"Commerce and Shopping, Consumer Goods, Food and Beverage, Health Care, Manufacturing",1-10,"Consumer Goods, Manufacturing, Pharmaceutical, Tobacco, Wholesale","Vancouver, British Columbia, Canada",Sesh+ sells innovative risk-reduced nicotine products with a mission of eliminating tobacco related harm.,"20,652",,"18,400",http://www.seshproducts.com ,,https://www.linkedin.com/company/sesh-products,,2025-09-04,Venture - Series Unknown,,,
Talk2View,https://www.crunchbase.com/organization/talk2view,"Artificial Intelligence (AI), Hardware, Health Care, Information Technology, Software",1-10,"AI Infrastructure, Health Care, Information Technology, Medical Device, Software","Perth, Western Australia, Australia",Managed AI Infrastructure,"20,660",,"18,405",https://www.talk2view.com,kat@talk2view.com,https://www.linkedin.com/company/talk2view/,,2025-08-01,Pre-Seed,231500,AUD,149756
1606 Corp.,https://www.crunchbase.com/organization/1606-corp,"Community and Lifestyle, Food and Beverage, Health Care",1-10,"Cannabis, Medical","Phoenix, Arizona, United States",1606 Corp is a smokable hemp brand of SinglePoint.,"20,686",,"18,427",https://cbdw.ai/,,,602-481-1544,2025-12-03,Post-IPO Equity,6000000,USD,6000000
Kudos,https://www.crunchbase.com/organization/kudos-e937,"Commerce and Shopping, Community and Lifestyle, Consumer Goods, Health Care",1-10,"Baby, Consumer Goods, Health Care, Retail","Boston, Massachusetts, United States",Kudos is a retail company that offers natural disposable baby diapers with cotton liners.,"20,724",,"18,461",https://mykudos.com/,hello@mykudos.com,https://www.linkedin.com/company/kudostobaby/,,2024-07-11,Seed,3000000,USD,3000000
Auxa Health,https://www.crunchbase.com/organization/nightingale-health-08af,"Health Care, Information Technology",1-10,"Health Care, Health Diagnostics, Information Technology","New York, New York, United States",Auxa Health is a healthcare technology firm focused on social care orchestration.,"20,781",,"18,512",https://www.auxahealth.com,hello@auxahealth.com,https://www.linkedin.com/company/auxahealth,,2024-04-22,Seed,5200000,USD,5200000
Mighty Health,https://www.crunchbase.com/organization/mighty-health-4f22,"Health Care, Sports",1-10,"Fitness, Health Care, Wellness","San Francisco, California, United States","Mighty Health is a personal health coach that offers joint-friendly, low-impact workouts for healthy aging.","20,784",,"18,515",http://www.mightyhealth.com,support@mightyhealth.com,https://www.linkedin.com/company/mightyhealth,,2023-01-25,Series A,7600000,USD,7600000
Claim Health,https://www.crunchbase.com/organization/claim-health,Health Care,1-10,"Health Care, Hospital, Medical","New York, New York, United States",Claim Health is a AI revenue platform that is fully automated through AI billing for healthcare industry.,"20,843",,"18,569",https://www.claimhealth.com/,support@claimhealth.ai,https://www.linkedin.com/company/claim-health/,,2026-01-21,Seed,4400000,USD,4400000
Bodily,https://www.crunchbase.com/organization/bodily,"Community and Lifestyle, Health Care",1-10,"Health Care, Wellness, Women's","New York, New York, United States",Bodily offers evidence-based research and design-led products for women's bodies and health.,"20,845",,"18,571",http://www.itsbodily.com,hello@itsbodily.com,https://www.linkedin.com/company/itsbodily/,,2023-05-26,Convertible Note,,,
Intensity Therapeutics,https://www.crunchbase.com/organization/intensity-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Therapeutics","Norwalk, Connecticut, United States",Intensity Therapeutics is a biopharmaceutical company that provides chemotherapy treatment for cancer patients.,"20,880",,"18,604",http://www.intensitytherapeutics.com,info@intensitytherapeutics.com,https://www.linkedin.com/company/intensity-therapeutics,+1 2036641051,2025-10-31,Post-IPO Equity,4000000,USD,4000000
Spectrum Regenerative,https://www.crunchbase.com/organization/spectrum-advance-liver-care,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Life Science, Pharmaceutical",,Transforming care in high-mortality liver conditions with novel small-molecule therapies.,"20,943",,"18,664",https://spectrumregenerative.com/,max@spectrumregenerative.com,https://www.linkedin.com/company/spectrum-regenerative/,,2026-01-06,Convertible Note,100000,USD,100000
Verility,https://www.crunchbase.com/organization/verility,"Agriculture and Farming, Health Care",1-10,"Agriculture, AgTech, Fertility","Maxwell, Indiana, United States",Veterinary provides fertility analysis products that enable livestock producers and breeders to accelerate reproductive performance.,"20,951",,"18,672",https://www.verilityco.com,liane.hart@verilityco.com,https://www.linkedin.com/company/verility-inc/?viewAsMember=true,,2022-07-27,Series A,3999998,USD,3999998
Izote Biosciences,https://www.crunchbase.com/organization/izote-biosciences,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Genetics, Life Science","Berkeley, California, United States",Biomanufacturing Scale-Up Solution,"20,955",,"18,674",https://Izote.bio,,,,2025-02-01,Pre-Seed,3100000,USD,3100000
Ventis Medical,https://www.crunchbase.com/organization/ventis-medical,"Health Care, Manufacturing",1-10,"Health Care, Manufacturing, Medical, Medical Device","Princeton, New Jersey, United States","Ventis Medical is a supplier and developer of a medical devices for a low-cost, simple-to-use ventilator.","20,991",,"18,709",https://www.ventismed.com,inquiries@ventismed.com,https://www.linkedin.com/company/ventis-med,,2021-06-04,Venture - Series Unknown,4144003,USD,4144003
Protein Dynamic Solutions,https://www.crunchbase.com/organization/protein-dynamic-solutions,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Biopharma, Biotechnology, Developer Tools, Life Science, Predictive Analytics, Therapeutics","Wakefield, Massachusetts, United States","Biotherapeutics Analytical Instrumentation for AI, R&D and Manufacturing [ HT multi-attribute multi-variate (MAM) and label free analysis].","21,005",,"18,722",https://pdsbio.com,info@pdsbio.com,https://www.linkedin.com/company/protein-dynamic-solutions-llc/,978-594-6955,2025-11-07,Venture - Series Unknown,1772369,USD,1772369
Eolo Pharma,https://www.crunchbase.com/organization/eolo-pharma,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Health Care, Pharmaceutical","Wilmington, Delaware, United States",Eolo Pharma focuses on developing drugs targeting the molecular and cellular basis of inflammation-related diseases.,"21,015",,"18,730",https://eolo-pharma.com/,contact@eolo-pharma.com,https://www.linkedin.com/company/eolo-pharma/,,2023-02-08,Venture - Series Unknown,1799999,USD,1799999
Cast21,https://www.crunchbase.com/organization/cast21,Health Care,1-10,"Health Care, Medical Device, Pharmaceutical","Memphis, Tennessee, United States",Cast21 is a developer of medical orthopedic products to create a waterproof and breathable cast for fracture and joint care.,"21,027",,"18,740",http://cast21.com/,,https://www.linkedin.com/company/cast21official/,+1 (217) 381-2395,2023-03-13,Grant,,,
Barnwell Bio,https://www.crunchbase.com/organization/barnwell-bio,"Biotechnology, Health Care, Science and Engineering, Sustainability",1-10,"Biotechnology, Veterinary, Waste Management","Brooklyn, New York, United States",Barnwell Bio analyzes waste streams for insights into animal health and farm management.,"21,039",,"18,752",https://www.barnwellbio.com,,https://www.linkedin.com/company/barnwellbio,,2026-01-26,Seed,6000000,USD,6000000
Ligandal,https://www.crunchbase.com/organization/ligandal,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Genetics, Nanotechnology","Brooklyn, New York, United States",Ligandal is creating delivery systems and AI-driven targeting approaches for cell-specific and precision genetic medicine.,"21,077",,"18,785",http://www.ligandal.com,press@ligandal.com,https://www.linkedin.com/company/ligandal-inc.,,2019-02-01,Seed,1800000,USD,1800000
Medasi,https://www.crunchbase.com/organization/medasi,"Apps, Commerce and Shopping, Consumer Goods, Financial Services, Health Care, Internet Services, Media and Entertainment, Mobile, Other, Payments, Software",1-10,"Beauty, Marketplace, Mobile Apps, Payments, Personal Health, Professional Services, SaaS, Social Media, Software, Wellness","Asheville, North Carolina, United States",Medasi is a beauty tech company that offers a SaaS-enabled mobile platform for haircare through booking professional styles.,"21,098",,"18,806",https://getmedasi.com/,,https://www.linkedin.com/company/medasi-com/,,2025-03-09,Pre-Seed,5000,USD,5000
Five to Nine,https://www.crunchbase.com/organization/five-to-nine,"Administrative Services, Community and Lifestyle, Health Care, Other, Software",1-10,"B2B, Communities, Employee Benefits, Millennials, Social, Software","Chicago, Illinois, United States",Five to Nine manages & evaluates virtual event programming so you can focus on building the employee experience.,"21,114",,"18,822",http://fivetonine.co,info@fivetonine.co,https://www.linkedin.com/company/five-to-nine,(419) 410-3772,2024-05-06,Non-equity Assistance,,,
Pepper Bio,https://www.crunchbase.com/organization/pepper-bio,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Clinical Trials","Dedham, Massachusetts, United States",Pepper Bio is a trans-omics company that helps researchers and drug developers discover new drugs.,"21,127",,"18,835",https://pepper.bio/,contact@pepper.bio,https://www.linkedin.com/company/pepperbio,617-430-6607,2023-11-30,Seed,6500000,USD,6500000
ATDev,https://www.crunchbase.com/organization/atdev,"Health Care, Information Technology",1-10,"Assistive Technology, Information Technology, Medical Device","Berkeley, California, United States",ATDev provides assistive technology and medical device solutions.,"21,140",,"18,848",https://www.assistivetech.dev/,,https://www.linkedin.com/company/assistive-technology-development-inc/,,2025-10-16,Seed,3000000,USD,3000000
Known Medicine,https://www.crunchbase.com/organization/known-medicine,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Biotechnology, Health Care, Life Science, Medical","Salt Lake City, Utah, United States",Known Medicine combines patient-specific 3D cell culture and AI to translate drugs to clinical success,"21,159",,"18,866",https://www.knownmed.com/,,https://www.linkedin.com/company/known-medicine/,,2022-03-29,Seed,,,
PAQ Therapeutics,https://www.crunchbase.com/organization/paq-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Therapeutics","Cambridge, Massachusetts, United States",PAQ Therapeutics is a biotechnology company pioneering a new approach to restoring health and curing disease through autophagy.,"21,203",,"18,904",https://www.paqtx.com/,,https://www.linkedin.com/company/paq-therapeutics/,(540) 958-1011,2026-01-22,Series B,38000000,USD,38000000
Roga,https://www.crunchbase.com/organization/roga-life,"Biotechnology, Consumer Electronics, Hardware, Health Care, Science and Engineering",1-10,"Consumer Electronics, Health Care, Mental Health, Neuroscience, Personal Health, Wearables, Wellness","Oakland, California, United States",Roga is a health tech platform solution based on Neuroscience and AI,"21,244",,"18,941",http://www.rogalife.com,Info@RogaLife.com,https://www.linkedin.com/company/roga,+1 510-326-5896,2024-02-28,Pre-Seed,1200000,USD,1200000
Madorra,https://www.crunchbase.com/organization/madorra,"Community and Lifestyle, Health Care",1-10,"Health Care, Medical, Medical Device, Personal Health, Wellness, Women's","Portland, Oregon, United States",Madorra is a women's health firm that develops solutions to improve quality of life after menopause.,"21,250",,"18,946",http://www.madorra.com/,info@madorra.com,https://www.linkedin.com/company/madorra-inc-,,2022-12-05,Non-equity Assistance,,,
Evoq Therapeutics,https://www.crunchbase.com/organization/evoq-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Health Care, Life Science, Medical","Ann Arbor, Michigan, United States",Evoq Therapeutics is a cancer immunotherapy company that provides disease-specific immune modulators.,"21,277",,"18,969",https://www.evoqtherapeutics.com/,info@evoqtherapeutics.com,https://www.linkedin.com/company/evoq-therapeutics,,2024-08-29,Grant,2000000,USD,2000000
Medbill AI,https://www.crunchbase.com/organization/medbill-ai,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Consumer Software, FinTech, Health Care","New York, New York, United States",Medbill AI offers an AI assistant that helps users with medical billing and health insurance issues.,"21,301",,"18,992",https://www.medbill.ai,hi@medbill.ai,https://www.linkedin.com/company/medbill-ai,,2024-07-23,Seed,16254985,USD,16254985
PROFIT,https://www.crunchbase.com/organization/profitbusinessbank,"Administrative Services, Financial Services, Health Care, Lending and Investments, Payments, Professional Services, Software",1-10,"Accounting, Banking, Debit Cards, Employee Benefits, Finance, Financial Services, FinTech, Payments, Software","New York, New York, United States",PROFIT is an online bank for small businesses with built-in accounting software that does bookkeeping for FREE.,"21,366",,"19,055",https://www.bankprofit.com,info@bankprofit.com,https://www.linkedin.com/company/bankprofithq/,800-899-4054,2023-01-01,Venture - Series Unknown,,,
TRIMTECH Therapeutics,https://www.crunchbase.com/organization/trimtech-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Medical, Therapeutics","Cambridge, Massachusetts, United States",TRIMTECH Therapeutics treats inflammatory and persistent CNS conditions by focusing on the elimination of harmful proteins.,"21,368",,"19,057",https://trimtechtherapeutics.com/,,https://www.linkedin.com/company/trimtech-therapeutics-limited/,+44 (0)1223 767800,2025-03-05,Seed,31000000,USD,31000000
Better & Better,https://www.crunchbase.com/organization/better-better,"Commerce and Shopping, Consumer Goods, Health Care",1-10,"Consumer Goods, E-Commerce, Personal Health","New York, New York, United States","Better & Better provides personal care products such as organic toothpaste in an eco-friendly, reusable dispenser.","21,401",,"19,087",https://betterandbetter.com/,support@betterandbetter.com,https://www.linkedin.com/company/betterandbetter/,,2024-09-02,Seed,55000,USD,55000
GRI Bio,https://www.crunchbase.com/organization/gri-bio,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Life Science, Pharmaceutical","La Jolla, California, United States",GRI Bio is a biotech company that develops therapies to treat inflammatory diseases.,"21,442",,"19,128",http://www.gribio.com/,,https://in.linkedin.com/company/glycoregimmune-inc.,(619) 400-1171,2025-12-11,Post-IPO Equity,8000000,USD,8000000
OverT Bio,https://www.crunchbase.com/organization/overt-bio,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Life Science, Therapeutics","New York, New York, United States",OverT Bio operates as a biotech company that provide cell therapy for cancers.,"21,453",,"19,139",https://www.overt.bio,,https://www.linkedin.com/company/overt-bio/,,2024-11-22,Grant,120000,USD,120000
